time,national_mw
2026-09-19 03:30:00+01:00,0.0
2026-09-19 04:30:00+01:00,0.0
2026-09-19 05:30:00+01:00,0.0
2026-09-19 06:30:00+01:00,8.786769976619418
2026-09-19 07:30:00+01:00,62.918328486813486
2026-09-19 08:30:00+01:00,135.8743615781906
2026-09-19 09:30:00+01:00,210.84704896874976
2026-09-19 10:30:00+01:00,282.96485327237855
2026-09-19 11:30:00+01:00,342.9869708301322
2026-09-19 12:30:00+01:00,387.9819727437312
2026-09-19 13:30:00+01:00,347.6807092532601
2026-09-19 14:30:00+01:00,294.27228063787396
2026-09-19 15:30:00+01:00,236.64348097812942
2026-09-19 16:30:00+01:00,147.58132177513784
2026-09-19 17:30:00+01:00,48.74036775636276
2026-09-19 18:30:00+01:00,0.0
2026-09-19 19:30:00+01:00,0.0
2026-09-19 20:30:00+01:00,0.0
2026-09-19 21:30:00+01:00,0.0
2026-09-19 22:30:00+01:00,0.0
2026-09-19 23:30:00+01:00,0.0
2026-09-20 00:30:00+01:00,0.0
2026-09-20 01:30:00+01:00,0.0
2026-09-20 02:30:00+01:00,0.0
2026-09-20 03:30:00+01:00,0.0
2026-09-20 04:30:00+01:00,0.0
2026-09-20 05:30:00+01:00,0.0
2026-09-20 06:30:00+01:00,15.597506645923088
2026-09-20 07:30:00+01:00,94.93991942719005
2026-09-20 08:30:00+01:00,207.03321555925157
2026-09-20 09:30:00+01:00,292.69005799899287
2026-09-20 10:30:00+01:00,360.0956222511119
2026-09-20 11:30:00+01:00,404.0909779845923
2026-09-20 12:30:00+01:00,381.3594897403171
2026-09-20 13:30:00+01:00,348.80614047537085
2026-09-20 14:30:00+01:00,284.543345201558
2026-09-20 15:30:00+01:00,202.0348447337253
2026-09-20 16:30:00+01:00,117.1294451100958
2026-09-20 17:30:00+01:00,41.14898978326415
2026-09-20 18:30:00+01:00,0.0
2026-09-20 19:30:00+01:00,0.0
2026-09-20 20:30:00+01:00,0.0
2026-09-20 21:30:00+01:00,0.0
2026-09-20 22:30:00+01:00,0.0
2026-09-20 23:30:00+01:00,0.0
2026-09-21 00:30:00+01:00,0.0
2026-09-21 01:30:00+01:00,0.0
2026-09-21 02:30:00+01:00,0.0
2026-09-21 03:30:00+01:00,0.0
2026-09-21 04:30:00+01:00,0.0
2026-09-21 05:30:00+01:00,0.0
2026-09-21 06:30:00+01:00,13.73897328070348
2026-09-21 07:30:00+01:00,86.74801639754124
2026-09-21 08:30:00+01:00,183.01580754874024
2026-09-21 09:30:00+01:00,269.40620650916765
2026-09-21 10:30:00+01:00,327.52687557304927
2026-09-21 11:30:00+01:00,374.4285737421525
2026-09-21 12:30:00+01:00,377.4152666672825
2026-09-21 13:30:00+01:00,347.956010542829
2026-09-21 14:30:00+01:00,299.56175819537964
2026-09-21 15:30:00+01:00,239.10841996388564
2026-09-21 16:30:00+01:00,145.07419168751258
2026-09-21 17:30:00+01:00,49.09080987806435
2026-09-21 18:30:00+01:00,0.0
2026-09-21 19:30:00+01:00,0.0
2026-09-21 20:30:00+01:00,0.0
2026-09-21 21:30:00+01:00,0.0
2026-09-21 22:30:00+01:00,0.0
2026-09-21 23:30:00+01:00,0.0
2026-09-22 00:30:00+01:00,0.0
2026-09-22 01:30:00+01:00,0.0
2026-09-22 02:30:00+01:00,0.0
2026-09-22 03:30:00+01:00,0.0
2026-09-22 04:30:00+01:00,0.0
2026-09-22 05:30:00+01:00,0.0
2026-09-22 06:30:00+01:00,14.772413370977919
2026-09-22 07:30:00+01:00,93.4453287736774
2026-09-22 08:30:00+01:00,200.38518496009183
2026-09-22 09:30:00+01:00,299.8280973039574
2026-09-22 10:30:00+01:00,356.40545159986215
2026-09-22 11:30:00+01:00,381.8614857689043
2026-09-22 12:30:00+01:00,393.6239049098665
2026-09-22 13:30:00+01:00,365.4454700527481
2026-09-22 14:30:00+01:00,323.5667498972459
2026-09-22 15:30:00+01:00,251.88132486754023
2026-09-22 16:30:00+01:00,154.01708867542894
2026-09-22 17:30:00+01:00,48.20765430674774
